dateday,season,month,weekday,workingday,holidays,cnt,duration_min,duration_hr
2023-08-31,2,8,3,1,0,13821,225719.35,3761.9891666666667
2023-09-01,3,9,4,1,0,12844,224042.78333333333,3734.046388888889
2023-09-02,3,9,5,0,0,12867,272128.7833333333,4535.479722222222
2023-09-03,3,9,6,0,0,11495,226782.98333333334,3779.716388888889
2023-09-04,3,9,0,1,1,10061,174365.11666666667,2906.0852777777777
2023-09-05,3,9,1,1,0,11519,162411.4,2706.8566666666666
2023-09-06,3,9,2,1,0,12420,177523.38333333333,2958.7230555555557
2023-09-07,3,9,3,1,0,12466,173222.58333333334,2887.043055555556
2023-09-08,3,9,4,1,0,12123,173075.96666666667,2884.5994444444445
2023-09-09,3,9,5,0,0,10224,177604.16666666666,2960.0694444444443
2023-09-10,3,9,6,0,0,10273,179073.8,2984.563333333333
2023-09-11,3,9,0,1,0,11530,173752.6,2895.8766666666666
2023-09-12,3,9,1,1,0,13098,193511.8,3225.1966666666663
2023-09-13,3,9,2,1,0,14038,227914.41666666666,3798.573611111111
2023-09-14,3,9,3,1,0,14303,214575.46666666667,3576.257777777778
2023-09-15,3,9,4,1,0,13754,227809.68333333332,3796.8280555555552
2023-09-16,3,9,5,0,0,14812,323142.38333333336,5385.70638888889
2023-09-17,3,9,6,0,0,9429,170343.45,2839.0575000000003
2023-09-18,3,9,0,1,0,11706,186391.63333333333,3106.527222222222
2023-09-19,3,9,1,1,0,13170,223556.28333333333,3725.9380555555554
2023-09-20,3,9,2,1,0,13312,220974.2,3682.9033333333336
2023-09-21,3,9,3,1,0,13626,221554.35,3692.5725
2023-09-22,3,9,4,1,0,13158,206106.86666666667,3435.1144444444444
2023-09-23,3,9,5,0,0,3060,38902.01666666667,648.3669444444445
2023-09-24,3,9,6,0,0,7209,110215.18333333333,1836.9197222222222
2023-09-25,3,9,0,1,0,10331,148229.5,2470.491666666667
2023-09-26,3,9,1,1,0,10404,146434.53333333333,2440.5755555555556
2023-09-27,3,9,2,1,0,14118,211666.25,3527.7708333333335
2023-09-28,3,9,3,1,0,13650,210787.38333333333,3513.1230555555553
2023-09-29,3,9,4,1,0,13436,207518.41666666666,3458.6402777777776
2023-09-30,3,9,5,0,0,15241,304257.98333333334,5070.966388888889
2023-10-01,3,10,6,0,0,13959,271132.98333333334,4518.883055555556
2023-10-02,3,10,0,1,0,12528,192366.45,3206.1075
2023-10-03,3,10,1,1,0,13698,219347.0,3655.7833333333333
2023-10-04,3,10,2,1,0,14041,203091.75,3384.8625
2023-10-05,3,10,3,1,0,13567,202987.5,3383.125
2023-10-06,3,10,4,1,0,13004,204287.86666666667,3404.797777777778
2023-10-07,3,10,5,0,0,11456,225225.08333333334,3753.751388888889
2023-10-08,3,10,6,0,0,11140,212690.28333333333,3544.8380555555555
2023-10-09,3,10,0,1,1,10201,156008.03333333333,2600.1338888888886
2023-10-10,3,10,1,1,0,12384,188891.88333333333,3148.1980555555556
2023-10-11,3,10,2,1,0,13202,190306.41666666666,3171.7736111111108
2023-10-12,3,10,3,1,0,13842,214029.06666666668,3567.1511111111113
2023-10-13,3,10,4,1,0,13712,251674.66666666666,4194.577777777778
2023-10-14,3,10,5,0,0,6229,91450.7,1524.1783333333333
2023-10-15,3,10,6,0,0,10788,191919.6,3198.6600000000003
2023-10-16,3,10,0,1,0,11005,153745.88333333333,2562.4313888888887
