dateday,hour,season,month,weekday,workingday,holidays,cnt,duration_min,duration_hr
2023-03-16,19,1,3,3,1,0,698,10385.433333333332,173.09055555555554
2023-03-16,20,1,3,3,1,0,424,6568.216666666666,109.47027777777777
2023-03-16,21,1,3,3,1,0,297,6084.85,101.41416666666667
2023-03-16,22,1,3,3,1,0,248,2983.9333333333334,49.73222222222223
2023-03-16,23,1,3,3,1,0,156,2289.0166666666664,38.150277777777774
2023-03-17,0,1,3,4,1,0,62,690.0,11.5
2023-03-17,1,1,3,4,1,0,28,396.2833333333333,6.604722222222222
2023-03-17,2,1,3,4,1,0,10,149.61666666666667,2.4936111111111114
2023-03-17,3,1,3,4,1,0,3,42.16666666666667,0.7027777777777778
2023-03-17,4,1,3,4,1,0,15,195.18333333333334,3.2530555555555556
2023-03-17,5,1,3,4,1,0,61,572.8833333333333,9.548055555555555
2023-03-17,6,1,3,4,1,0,142,1546.25,25.770833333333332
2023-03-17,7,1,3,4,1,0,318,3701.1833333333334,61.68638888888889
2023-03-17,8,1,3,4,1,0,525,5838.4,97.30666666666666
2023-03-17,9,1,3,4,1,0,405,4875.816666666667,81.2636111111111
2023-03-17,10,1,3,4,1,0,346,4936.583333333333,82.27638888888889
2023-03-17,11,1,3,4,1,0,335,5219.083333333333,86.98472222222222
2023-03-17,12,1,3,4,1,0,352,7112.416666666667,118.54027777777779
2023-03-17,13,1,3,4,1,0,337,6466.9,107.78166666666667
2023-03-17,14,1,3,4,1,0,311,6559.966666666667,109.33277777777779
2023-03-17,15,1,3,4,1,0,481,9782.716666666667,163.04527777777778
2023-03-17,16,1,3,4,1,0,632,10431.15,173.8525
2023-03-17,17,1,3,4,1,0,834,15834.816666666668,263.91361111111115
2023-03-17,18,1,3,4,1,0,733,10716.15,178.6025
2023-03-17,19,1,3,4,1,0,579,9272.783333333333,154.54638888888888
2023-03-17,20,1,3,4,1,0,419,8311.2,138.52
2023-03-17,21,1,3,4,1,0,293,4122.35,68.70583333333335
2023-03-17,22,1,3,4,1,0,269,4674.883333333333,77.91472222222222
2023-03-17,23,1,3,4,1,0,170,1946.9833333333333,32.44972222222222
2023-03-18,0,1,3,5,0,0,142,3629.0666666666666,60.48444444444444
2023-03-18,1,1,3,5,0,0,119,1506.4166666666667,25.106944444444444
2023-03-18,2,1,3,5,0,0,63,2100.7000000000003,35.01166666666667
2023-03-18,3,1,3,5,0,0,26,390.85,6.514166666666667
2023-03-18,4,1,3,5,0,0,7,69.48333333333333,1.1580555555555556
2023-03-18,5,1,3,5,0,0,19,226.08333333333334,3.7680555555555557
2023-03-18,6,1,3,5,0,0,121,1553.7,25.895
2023-03-18,7,1,3,5,0,0,357,6009.866666666667,100.16444444444444
2023-03-18,8,1,3,5,0,0,301,6965.516666666666,116.09194444444444
2023-03-18,9,1,3,5,0,0,457,8833.966666666667,147.23277777777778
2023-03-18,10,1,3,5,0,0,609,11721.433333333334,195.35722222222225
2023-03-18,11,1,3,5,0,0,730,14553.783333333333,242.56305555555554
2023-03-18,12,1,3,5,0,0,774,16093.55,268.2258333333333
2023-03-18,13,1,3,5,0,0,757,15808.733333333334,263.4788888888889
2023-03-18,14,1,3,5,0,0,790,19785.45,329.7575
2023-03-18,15,1,3,5,0,0,873,21473.833333333332,357.8972222222222
2023-03-18,16,1,3,5,0,0,778,15905.583333333334,265.09305555555557
2023-03-18,17,1,3,5,0,0,788,16829.45,280.49083333333334
2023-03-18,18,1,3,5,0,0,681,13233.566666666668,220.55944444444447
2023-03-18,19,1,3,5,0,0,441,7476.583333333333,124.60972222222222
2023-03-18,20,1,3,5,0,0,276,5405.95,90.09916666666666
2023-03-18,21,1,3,5,0,0,207,3876.7,64.61166666666666
2023-03-18,22,1,3,5,0,0,206,2697.7333333333336,44.96222222222222
2023-03-18,23,1,3,5,0,0,171,4029.483333333333,67.15805555555555
2023-03-19,0,1,3,6,0,0,114,3225.6666666666665,53.761111111111106
2023-03-19,1,1,3,6,0,0,71,1214.15,20.235833333333336
2023-03-19,2,1,3,6,0,0,41,458.78333333333336,7.64638888888889
2023-03-19,3,1,3,6,0,0,30,407.8833333333333,6.798055555555555
2023-03-19,4,1,3,6,0,0,7,57.35,0.9558333333333333
2023-03-19,5,1,3,6,0,0,8,96.53333333333333,1.6088888888888888
2023-03-19,6,1,3,6,0,0,25,332.8333333333333,5.547222222222222
2023-03-19,7,1,3,6,0,0,47,739.1666666666666,12.319444444444445
2023-03-19,8,1,3,6,0,0,117,2171.233333333333,36.18722222222222
2023-03-19,9,1,3,6,0,0,233,4106.016666666666,68.4336111111111
2023-03-19,10,1,3,6,0,0,318,4032.2,67.20333333333333
2023-03-19,11,1,3,6,0,0,380,5701.733333333334,95.02888888888889
2023-03-19,12,1,3,6,0,0,425,7314.533333333333,121.90888888888888
2023-03-19,13,1,3,6,0,0,485,10319.7,171.995
2023-03-19,14,1,3,6,0,0,458,9536.15,158.93583333333333
2023-03-19,15,1,3,6,0,0,522,8943.833333333334,149.0638888888889
2023-03-19,16,1,3,6,0,0,401,6863.983333333334,114.39972222222222
2023-03-19,17,1,3,6,0,0,391,8439.916666666666,140.66527777777776
2023-03-19,18,1,3,6,0,0,316,4761.4,79.35666666666665
2023-03-19,19,1,3,6,0,0,207,2686.116666666667,44.76861111111111
2023-03-19,20,1,3,6,0,0,116,1314.9333333333334,21.915555555555557
2023-03-19,21,1,3,6,0,0,103,1114.7666666666667,18.579444444444444
2023-03-19,22,1,3,6,0,0,68,904.0666666666666,15.067777777777776
2023-03-19,23,1,3,6,0,0,53,494.6,8.243333333333334
2023-03-20,0,1,3,0,1,0,21,695.7333333333333,11.595555555555556
2023-03-20,1,1,3,0,1,0,8,104.71666666666667,1.7452777777777777
2023-03-20,2,1,3,0,1,0,4,87.2,1.4533333333333334
2023-03-20,3,1,3,0,1,0,7,127.85,2.1308333333333334
2023-03-20,4,1,3,0,1,0,14,193.86666666666667,3.2311111111111113
